arrival_date,year,month,record_count,market_count,variety_count,total_arrivals_metric_tonnes,minimum_price_rs_per_quintal,maximum_price_rs_per_quintal,modal_price_simple_avg_rs_per_quintal,modal_price_weighted_avg_rs_per_quintal,target_modal_price_rs_per_quintal
2020-09-21,2020,9,2,2,2,354.0,1550.0,2170.0,1800.0,1938.9831,1938.9831
2020-09-22,2020,9,2,2,2,324.0,1550.0,2155.0,1800.0,1970.3704,1970.3704
2020-09-23,2020,9,3,3,2,1305.0,1375.0,2100.0,1733.3333,1906.5134,1906.5134
2020-09-24,2020,9,2,2,2,329.0,1600.0,2130.0,1775.0,1706.383,1706.383
2020-09-26,2020,9,2,2,2,730.0,1560.0,2140.0,1800.0,1836.9863,1836.9863
2020-09-27,2020,9,1,1,1,120.0,1888.0,1888.0,1888.0,1888.0,1888.0
2020-09-28,2020,9,6,6,4,608.6,1888.0,1895.0,1890.0,1889.7828,1889.7828
2020-09-29,2020,9,15,15,4,3673.29,1525.0,2070.0,1870.2667,1871.6139,1871.6139
2020-09-30,2020,9,20,20,5,14057.13,1520.0,2165.0,1896.35,1902.3207,1902.3207
2020-10-01,2020,10,17,17,5,12787.53,1850.0,2180.0,1894.8824,1892.3808,1892.3808
2020-10-02,2020,10,27,27,5,20724.02,1880.0,1893.0,1887.7037,1887.807,1887.807
2020-10-03,2020,10,37,37,4,30908.39,1880.0,1898.0,1888.0,1888.0,1888.0
2020-10-04,2020,10,41,41,4,39294.13,1888.0,1893.0,1888.0,1888.0,1888.0
2020-10-05,2020,10,55,54,6,62497.09,1755.0,2200.0,1890.0364,1889.2724,1889.2724
2020-10-06,2020,10,61,60,6,70477.24,1805.0,2125.0,1889.0164,1889.964,1889.964
2020-10-07,2020,10,56,55,6,77234.97,1700.0,2080.0,1887.3214,1887.6039,1887.6039
2020-10-08,2020,10,60,58,6,82903.35,1810.0,2035.0,1888.5333,1888.33,1888.33
2020-10-09,2020,10,61,59,7,85888.12,1810.0,2035.0,1891.8033,1888.4466,1888.4466
2020-10-10,2020,10,65,65,7,98600.5,1880.0,1888.0,1887.8769,1887.9939,1887.9939
2020-10-11,2020,10,66,66,7,108184.25,1888.0,1888.0,1888.0,1888.0,1888.0
2020-10-12,2020,10,66,66,7,119877.45,1888.0,1898.0,1888.0,1888.0,1888.0
2020-10-13,2020,10,84,81,7,158997.54,1680.0,1955.0,1886.9524,1887.3076,1887.3076
2020-10-14,2020,10,81,78,7,165998.38,1675.0,1990.0,1886.9136,1887.5361,1887.5361
2020-10-15,2020,10,77,74,7,165684.54,1750.0,1990.0,1886.8571,1887.3433,1887.3433
2020-10-16,2020,10,81,78,7,185045.04,1700.0,1980.0,1886.8148,1887.3206,1887.3206
2020-10-17,2020,10,77,77,7,216194.64,1888.0,1893.0,1888.0,1888.0,1888.0
2020-10-18,2020,10,76,76,7,192207.19,1888.0,1893.0,1888.0,1888.0,1888.0
2020-10-19,2020,10,77,77,7,211102.9,1880.0,1893.0,1887.8961,1887.9895,1887.9895
2020-10-20,2020,10,86,83,7,346569.02,1888.0,2080.0,1888.4302,1888.198,1888.198
2020-10-21,2020,10,86,84,7,284890.25,1888.0,1898.0,1888.0,1888.0,1888.0
2020-10-22,2020,10,85,83,7,304236.75,1888.0,1893.0,1888.0,1888.0,1888.0
2020-10-23,2020,10,82,80,7,334758.94,1888.0,1898.0,1888.0,1888.0,1888.0
2020-10-24,2020,10,89,86,7,333667.31,1888.0,2500.0,1892.6292,1890.1189,1890.1189
2020-10-25,2020,10,72,72,6,336392.58,1888.0,1898.0,1888.0,1888.0,1888.0
2020-10-26,2020,10,79,78,7,343171.11,1888.0,2595.0,1893.481,1889.8485,1889.8485
2020-10-27,2020,10,80,80,7,348719.93,1888.0,1893.0,1888.0,1888.0,1888.0
2020-10-28,2020,10,71,70,6,196154.34,1888.0,2100.0,1889.5775,1889.2342,1889.2342
2020-10-29,2020,10,75,74,8,210668.97,1888.0,2655.0,1896.32,1892.8966,1892.8966
2020-10-30,2020,10,80,79,8,218550.38,1888.0,2645.0,1893.15,1894.2069,1894.2069
2020-10-31,2020,10,78,77,8,316501.81,1888.0,2500.0,1893.9231,1891.3143,1891.3143
2020-11-01,2020,11,29,28,6,198515.75,1888.0,2615.0,1905.6552,1895.0643,1895.0643
2020-11-02,2020,11,46,46,6,167605.0,1888.0,2750.0,1900.2174,1891.2056,1891.2056
2020-11-03,2020,11,76,76,6,170724.36,1000.0,2710.0,1893.7105,1888.8634,1888.8634
2020-11-04,2020,11,70,70,6,218367.2,1888.0,2730.0,1896.3143,1891.1237,1891.1237
2020-11-05,2020,11,57,57,5,209458.57,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-06,2020,11,54,54,4,128845.39,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-07,2020,11,63,63,4,174822.3,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-08,2020,11,51,51,3,101831.19,1888.0,2755.0,1899.0196,1890.1248,1890.1248
2020-11-09,2020,11,56,56,4,150295.9,1888.0,3130.0,1897.3214,1892.5602,1892.5602
2020-11-10,2020,11,49,49,5,151019.3,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-11,2020,11,50,50,4,89033.34,1888.0,3070.0,1905.24,1896.3554,1896.3554
2020-11-12,2020,11,51,51,4,75575.6,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-13,2020,11,49,49,4,70717.18,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-14,2020,11,18,18,3,24457.78,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-15,2020,11,26,26,3,30075.49,1888.0,1888.0,1888.0,1888.0,1888.0
2020-11-16,2020,11,35,35,4,50960.1,1888.0,3800.0,1888.0,1888.0,1888.0
2020-11-17,2020,11,24,24,3,24561.9,1888.0,3800.0,1934.3333,1899.2912,1899.2912
2020-11-18,2020,11,24,24,3,12373.1,1888.0,4000.0,1888.2083,1888.0376,1888.0376
2020-11-19,2020,11,26,25,4,35460.1,1888.0,4000.0,1911.5385,1891.8315,1891.8315
2020-11-20,2020,11,27,26,4,32131.5,1888.0,2470.0,1903.4444,1890.4213,1890.4213
2020-11-21,2020,11,20,20,4,5537.0,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-22,2020,11,13,13,2,14736.0,1888.0,1888.0,1888.0,1888.0,1888.0
2020-11-23,2020,11,18,18,3,8182.8,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-24,2020,11,14,14,2,6099.0,1888.0,1900.0,1889.2143,1888.123,1888.123
2020-11-25,2020,11,16,16,4,5915.7,1888.0,1893.0,1888.3125,1888.0592,1888.0592
2020-11-26,2020,11,12,12,2,1688.8,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-27,2020,11,8,8,2,1661.8,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-28,2020,11,5,5,2,2197.0,1888.0,1893.0,1888.0,1888.0,1888.0
2020-11-29,2020,11,6,6,2,887.0,1888.0,1900.0,1890.0,1891.9233,1891.9233
2020-11-30,2020,11,7,7,2,3124.0,1888.0,1893.0,1888.0,1888.0,1888.0
2020-12-01,2020,12,1,1,1,42.9,1888.0,1888.0,1888.0,1888.0,1888.0
2020-12-17,2020,12,1,1,1,0.1,800.0,1500.0,1000.0,1000.0,1000.0
2020-12-28,2020,12,1,1,1,0.9,2500.0,2700.0,2600.0,2600.0,2600.0
2021-10-01,2021,10,1,1,1,438.0,1320.0,1875.0,1630.0,1630.0,1630.0
2021-10-02,2021,10,2,2,2,322.0,1350.0,1830.0,1595.0,1611.7391,1611.7391
2021-10-03,2021,10,11,11,3,23471.53,1960.0,1965.0,1960.1818,1961.5218,1961.5218
2021-10-04,2021,10,24,24,5,47216.48,1960.0,1965.0,1960.5833,1961.2849,1961.2849
2021-10-05,2021,10,30,30,5,23522.42,1960.0,1965.0,1960.0667,1960.1191,1960.1191
2021-10-06,2021,10,37,37,5,32749.11,1560.0,3050.0,1960.0811,1960.0006,1960.0006
2021-10-07,2021,10,38,38,5,76043.1,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-08,2021,10,46,46,4,83363.29,1960.0,3001.0,1960.0,1960.0,1960.0
2021-10-09,2021,10,49,49,5,82437.34,1960.0,1971.0,1960.0,1960.0,1960.0
2021-10-10,2021,10,54,54,5,51654.02,1960.0,1971.0,1960.0,1960.0,1960.0
2021-10-11,2021,10,59,59,6,116019.9,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-12,2021,10,67,67,6,94880.21,1960.0,3000.0,1960.0,1960.0,1960.0
2021-10-13,2021,10,75,75,6,150773.14,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-14,2021,10,67,67,6,147673.51,1960.0,2932.0,1960.0,1960.0,1960.0
2021-10-15,2021,10,73,73,5,142220.15,1960.0,1975.0,1960.2055,1960.0975,1960.0975
2021-10-16,2021,10,76,76,6,225657.02,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-17,2021,10,80,80,5,223229.79,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-18,2021,10,78,78,6,204041.14,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-19,2021,10,80,80,6,188271.91,1936.0,1965.0,1959.7313,1959.8254,1959.8254
2021-10-20,2021,10,80,80,5,230334.42,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-21,2021,10,76,76,6,277901.49,1960.0,1970.0,1960.0987,1960.1401,1960.1401
2021-10-22,2021,10,79,79,6,409559.69,1960.0,1970.0,1960.0949,1960.7562,1960.7562
2021-10-23,2021,10,79,79,6,453037.27,1960.0,1970.0,1960.0949,1960.9545,1960.9545
2021-10-24,2021,10,50,50,5,140181.47,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-25,2021,10,57,57,5,160291.72,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-26,2021,10,74,74,5,238667.35,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-27,2021,10,77,77,5,224874.94,1960.0,1970.0,1960.1299,1960.0262,1960.0262
2021-10-28,2021,10,76,76,6,213145.27,1960.0,1970.0,1960.1316,1960.0178,1960.0178
2021-10-29,2021,10,72,72,5,215591.7,1960.0,1970.0,1960.0,1960.0,1960.0
2021-10-30,2021,10,71,71,5,198304.02,1960.0,1965.0,1960.0,1960.0,1960.0
2021-10-31,2021,10,69,69,5,209364.5,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-01,2021,11,30,30,4,128496.02,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-02,2021,11,56,56,5,168634.92,1960.0,1970.0,1960.0,1960.0,1960.0
2021-11-03,2021,11,57,57,3,180883.66,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-04,2021,11,31,31,4,57579.6,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-05,2021,11,50,50,3,230255.87,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-06,2021,11,61,61,5,289212.75,1960.0,1970.0,1960.082,1960.8396,1960.8396
2021-11-07,2021,11,60,59,5,275747.47,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-08,2021,11,71,71,5,298576.47,1960.0,1970.0,1960.0,1960.0,1960.0
2021-11-09,2021,11,73,72,5,318737.0,1960.0,1970.0,1960.0,1960.0,1960.0
2021-11-10,2021,11,57,57,6,222465.95,1960.0,1965.0,1960.0,1960.0,1960.0
2021-11-11,2021,11,27,27,5,71848.3,1960.0,3875.0,2022.963,1967.6012,1967.6012
2021-11-12,2021,11,20,20,3,39808.4,1960.0,3900.0,2049.25,1972.6181,1972.6181
2021-11-13,2021,11,15,15,3,20321.0,1960.0,3665.0,2069.3333,1968.0582,1968.0582
2021-11-14,2021,11,15,15,4,9684.0,1960.0,1965.0,1960.3333,1960.0083,1960.0083
2021-11-15,2021,11,14,14,4,14343.0,1960.0,3300.0,2052.8571,1961.0998,1961.0998
2021-11-16,2021,11,14,14,3,13699.0,1960.0,1965.0,1960.7143,1960.6895,1960.6895
2021-11-17,2021,11,13,13,4,10940.0,1960.0,1965.0,1961.1538,1960.1837,1960.1837
2021-11-18,2021,11,9,9,3,3570.0,1960.0,1965.0,1961.1111,1960.1022,1960.1022
2021-11-19,2021,11,8,8,2,17065.0,1960.0,1960.0,1960.0,1960.0,1960.0
2021-11-20,2021,11,6,6,2,9878.0,1960.0,1960.0,1960.0,1960.0,1960.0
2021-11-21,2021,11,5,5,2,2199.0,1960.0,4011.0,2348.0,2004.111,2004.111
2021-11-22,2021,11,7,6,2,1442.4,1960.0,1965.0,1960.7143,1960.1366,1960.1366
2021-11-23,2021,11,7,7,2,63302.5,1960.0,1966.0,1960.8571,1960.0036,1960.0036
2021-11-24,2021,11,4,4,2,592.0,1960.0,4003.0,2420.0,2612.7027,2612.7027
2021-11-25,2021,11,4,4,1,407.0,1960.0,3925.0,2407.5,2452.5799,2452.5799
2021-11-26,2021,11,1,1,1,19.13,1965.0,1966.0,1965.0,1965.0,1965.0
2021-11-29,2021,11,1,1,1,70.0,3500.0,3999.0,3800.0,3800.0,3800.0
2021-11-30,2021,11,1,1,1,691.0,1960.0,1960.0,1960.0,1960.0,1960.0
2022-09-13,2022,9,1,1,1,170.0,2700.0,3200.0,2850.0,2850.0,2850.0
2022-09-14,2022,9,1,1,1,155.0,3100.0,3300.0,3295.0,3295.0,3295.0
2022-09-15,2022,9,1,1,1,270.0,3000.0,3300.0,3180.0,3180.0,3180.0
2022-09-16,2022,9,1,1,1,330.0,3070.0,3300.0,3285.0,3285.0,3285.0
2022-09-17,2022,9,1,1,1,494.0,1525.0,3350.0,3200.0,3200.0,3200.0
2022-09-18,2022,9,1,1,1,297.0,1600.0,3416.0,3220.0,3220.0,3220.0
2022-09-19,2022,9,1,1,1,36.0,1625.0,3080.0,1725.0,1725.0,1725.0
2022-09-20,2022,9,1,1,1,515.0,1750.0,3540.0,3200.0,3200.0,3200.0
2022-09-21,2022,9,1,1,1,772.0,1600.0,3525.0,1680.0,1680.0,1680.0
2022-09-22,2022,9,2,2,1,1049.0,1600.0,3490.0,1700.0,1744.5663,1744.5663
2022-09-23,2022,9,1,1,1,82.0,1550.0,1690.0,1655.0,1655.0,1655.0
2022-09-24,2022,9,1,1,1,587.0,1600.0,3350.0,1720.0,1720.0,1720.0
2022-09-25,2022,9,1,1,1,132.0,1550.0,3280.0,1645.0,1645.0,1645.0
2022-09-26,2022,9,1,1,1,99.0,1590.0,3030.0,1600.0,1600.0,1600.0
2022-09-27,2022,9,1,1,1,406.0,1460.0,3540.0,1650.0,1650.0,1650.0
2022-09-28,2022,9,1,1,1,229.0,1650.0,3571.0,1680.0,1680.0,1680.0
2022-09-29,2022,9,2,2,2,4189.0,1650.0,3599.0,1712.5,1723.6572,1723.6572
2022-09-30,2022,9,4,4,2,2413.5,1600.0,3600.0,1787.5,1733.4369,1733.4369
2022-10-01,2022,10,6,6,5,695.6,1640.0,3600.0,2000.0,1808.9937,1808.9937
2022-10-02,2022,10,6,6,4,950.0,2060.0,3200.0,2060.0,2060.0,2060.0
2022-10-03,2022,10,11,11,5,2597.7,2050.0,2070.0,2059.5455,2060.2906,2060.2906
2022-10-04,2022,10,17,17,6,9708.0,2060.0,2065.0,2060.2941,2060.0464,2060.0464
2022-10-05,2022,10,19,19,6,15661.5,2060.0,2070.0,2060.2632,2060.0431,2060.0431
2022-10-06,2022,10,19,19,6,22113.4,2060.0,2070.0,2060.2632,2060.0837,2060.0837
2022-10-07,2022,10,23,22,6,34186.2,2060.0,2250.0,2068.4783,2060.9947,2060.9947
2022-10-08,2022,10,30,30,6,30832.2,2060.0,2070.0,2060.1667,2060.0042,2060.0042
2022-10-09,2022,10,29,29,7,30345.9,2060.0,2065.0,2060.0,2060.0,2060.0
2022-10-10,2022,10,37,36,8,59427.1,2060.0,2071.0,2060.4054,2060.1505,2060.1505
2022-10-11,2022,10,33,32,7,50813.2,2060.0,2070.0,2060.303,2060.0779,2060.0779
2022-10-12,2022,10,31,31,6,39182.3,2060.0,2080.0,2060.0,2060.0,2060.0
2022-10-13,2022,10,29,29,6,24584.1,2060.0,2071.0,2060.0,2060.0,2060.0
2022-10-14,2022,10,36,36,6,61083.5,2060.0,2070.0,2060.2778,2060.1042,2060.1042
2022-10-15,2022,10,45,45,6,104836.0,2060.0,2070.0,2060.1556,2060.208,2060.208
2022-10-16,2022,10,42,42,6,87378.6,2060.0,2070.0,2060.119,2060.0826,2060.0826
2022-10-17,2022,10,34,34,7,102288.4,2040.0,2070.0,2059.6176,2059.6529,2059.6529
2022-10-18,2022,10,46,45,7,134457.2,2040.0,2121.0,2059.6739,2059.7854,2059.7854
2022-10-19,2022,10,48,48,7,162270.7,2040.0,2080.0,2059.6875,2059.9752,2059.9752
2022-10-20,2022,10,47,46,7,167061.8,2040.0,2090.0,2059.6809,2059.7487,2059.7487
2022-10-21,2022,10,39,38,4,156998.6,2040.0,2100.0,2059.6154,2059.5975,2059.5975
2022-10-22,2022,10,46,45,6,194760.6,2060.0,2100.0,2060.0,2060.0,2060.0
2022-10-23,2022,10,44,43,7,183825.3,2040.0,2100.0,2059.5455,2059.4732,2059.4732
2022-10-24,2022,10,25,24,4,47254.0,2060.0,2070.0,2060.0,2060.0,2060.0
2022-10-25,2022,10,45,44,7,160059.8,2040.0,2070.0,2059.6667,2059.7397,2059.7397
2022-10-26,2022,10,53,52,6,314440.8,2060.0,2075.0,2060.0943,2060.9237,2060.9237
2022-10-27,2022,10,50,49,6,260324.1,2060.0,2070.0,2060.0,2060.0,2060.0
2022-10-28,2022,10,50,49,6,225999.2,2060.0,2075.0,2060.0,2060.0,2060.0
2022-10-29,2022,10,52,51,6,254772.1,2060.0,2080.0,2060.0,2060.0,2060.0
2022-10-30,2022,10,52,51,7,248474.1,2040.0,2080.0,2059.6154,2059.6,2059.6
2022-10-31,2022,10,56,55,6,183839.5,2040.0,2070.0,2059.6429,2059.4752,2059.4752
2022-11-01,2022,11,54,53,7,191746.6,2040.0,2070.0,2059.7222,2059.993,2059.993
2022-11-02,2022,11,53,52,7,267975.1,2060.0,2070.0,2060.0943,2060.9922,2060.9922
2022-11-03,2022,11,50,49,6,198589.5,2060.0,2100.0,2060.0,2060.0,2060.0
2022-11-04,2022,11,55,54,5,236629.3,2040.0,2075.0,2059.6364,2059.4303,2059.4303
2022-11-05,2022,11,53,52,6,215360.6,2040.0,2070.0,2059.717,2060.589,2060.589
2022-11-06,2022,11,55,54,5,291282.25,2040.0,2070.0,2059.7273,2060.6567,2060.6567
